namapemda,pulau,tahun,jenis,level1,level2,Level2a,level3,level3a,nilai,Gubernur,WakilGubernur
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,10899927317,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,72471414349,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,1.96265E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,8.373E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.55838E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,686620018,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,512. Belanja Bunga,513. Belanja Bunga,296035973,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,5.40817E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,7.46138E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,21596985876,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,50388691686,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,2.09412E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,2.54624E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,2.07057E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,940000000,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,512. Belanja Bunga,513. Belanja Bunga,17064622000,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,17064622000,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.04319E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,2.22362E+12,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,8.91988E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.19949E+12,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,8.26156E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,48187817418,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,442780000,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,3.6274E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,3.9164E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,4.67928E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,2.95863E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,6.03196E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,595680000,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,512. Belanja Bunga,513. Belanja Bunga,229376483,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,3.77068E+11,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,1.91414E+11,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.48978E+11,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,6.40664E+11,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,7.31214E+11,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,566036250,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Selatan,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,51422977000,HERMAN DERU,MAWARDI YAHYA
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,6.55864E+11,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,185691688,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,6.35704E+11,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,5.12815E+11,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,7.04337E+11,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,8.07461E+11,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,2600000000,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,512. Belanja Bunga,513. Belanja Bunga,34171687,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Sumatera Utara,Sumatera,2009,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,1.2556E+11,EDY RAHMAYADI,MUSA RAJEKSHAH
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.45259E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,16689728212,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,5.59004E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,1.31177E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,1.28393E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,5.4851E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,52. Belanja Langsung,51. Belanja Pegawai,521. Belanja Pegawai Langsung,511. Belanja Pegawai,4.57322E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,9.86157E+11,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,23803348578,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.66939E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,39824000000,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,66279882500,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.27122E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,750000000,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,4.10746E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,52. Belanja Langsung,51. Belanja Pegawai,521. Belanja Pegawai Langsung,511. Belanja Pegawai,61463897410,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,2.87834E+11,SUTARMIDJI,RIA NORSAN
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,34803543823,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,3000000000,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,39290454000,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,2.12297E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,58587875457,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.49643E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,52. Belanja Langsung,51. Belanja Pegawai,521. Belanja Pegawai Langsung,511. Belanja Pegawai,64575381334,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.94068E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,513. Belanja Subsidi,514. Belanja Subsidi,2193960181,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,22185346950,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,33593533306,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,271830000,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,56107261450,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,1.58556E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,18370900000,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.79506E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,52. Belanja Langsung,51. Belanja Pegawai,521. Belanja Pegawai Langsung,511. Belanja Pegawai,39221244613,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.22719E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,13313448363,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,50060997375,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,53276973500,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,52224987199,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,2.39659E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,93264088217,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,2.02722E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,52. Belanja Langsung,51. Belanja Pegawai,521. Belanja Pegawai Langsung,511. Belanja Pegawai,56200520256,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,2.28668E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,8157923000,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,2.89079E+11,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,1.52013E+11,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,2.77895E+11,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,1.17266E+11,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.22801E+11,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,4.17948E+11,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,31104000,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,513. Belanja Subsidi,514. Belanja Subsidi,3300000000,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Bali,Bali & Nusra,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,85650114000,WAYAN KOSTER,TJOK OKA ARTHA ARDHANA SUKAWATI
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.77283E+12,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,4654686569,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,1.57923E+12,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,9.43387E+11,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,2.95624E+11,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,3.54306E+11,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.14046E+12,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2008,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,13585000,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
